"Mortality rate, per 1,000 of the mean population by age, sex and year"

"age"	"sex"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"
"50-54 years"	"men"	4.04	3.99	3.91	3.80	3.84	3.70	3.78	3.66	3.59	3.50	3.30	3.09	3.05	3.13	2.89	2.93	2.70	2.60	2.69	2.37
"50-54 years"	"women"	2.73	2.78	2.48	2.53	2.43	2.60	2.41	2.28	2.31	2.38	2.06	2.12	2.22	2.08	2.03	1.77	1.77	1.81	1.66	1.68
"50-54 years"	"men and women"	3.39	3.39	3.20	3.17	3.14	3.15	3.10	2.98	2.96	2.94	2.69	2.61	2.64	2.62	2.47	2.36	2.24	2.21	2.19	2.03
"55-59 years"	"men"	6.28	6.45	6.46	6.12	6.14	6.04	5.88	5.73	5.58	5.55	5.40	5.45	5.05	4.76	4.75	4.89	4.52	4.38	4.32	4.17
"55-59 years"	"women"	4.50	4.35	4.30	3.99	4.00	4.12	3.84	3.70	3.69	3.58	3.41	3.35	3.26	3.41	3.27	3.23	3.14	2.94	2.93	2.81
"55-59 years"	"men and women"	5.40	5.41	5.39	5.07	5.08	5.09	4.86	4.72	4.63	4.57	4.41	4.40	4.16	4.09	4.02	4.07	3.83	3.66	3.63	3.49
"60-64 years"	"men"	10.87	10.63	10.37	10.03	9.64	9.59	9.46	9.49	9.36	8.81	9.02	8.37	8.35	8.48	8.11	7.91	8.07	7.76	7.65	7.18
"60-64 years"	"women"	6.84	6.20	6.26	6.38	6.36	6.28	6.23	5.88	5.96	5.88	5.95	5.55	5.37	5.30	5.29	5.37	5.29	5.18	5.08	4.86
"60-64 years"	"men and women"	8.83	8.40	8.31	8.21	8.01	7.95	7.85	7.69	7.66	7.35	7.48	6.95	6.85	6.89	6.70	6.64	6.68	6.47	6.37	6.02
"65-69 years"	"men"	18.45	18.07	17.82	17.50	16.80	16.68	15.90	15.41	15.07	14.24	14.11	14.32	13.46	13.46	13.30	13.02	13.05	12.42	12.92	12.25
"65-69 years"	"women"	10.47	10.77	10.54	10.16	9.67	10.10	9.31	9.87	9.61	9.14	9.14	8.54	9.25	9.05	8.83	8.85	8.46	8.54	8.55	7.72
"65-69 years"	"men and women"	14.27	14.26	14.04	13.71	13.13	13.31	12.54	12.60	12.31	11.67	11.61	11.41	11.34	11.23	11.04	10.91	10.73	10.45	10.71	9.96
"70-74 years"	"men"	31.83	30.29	30.22	30.16	28.51	27.95	26.91	25.11	25.14	24.04	23.68	22.81	22.77	21.96	21.24	21.49	21.01	20.25	20.36	19.60
"70-74 years"	"women"	17.52	17.79	17.79	17.05	16.90	16.28	16.24	15.60	14.88	15.66	15.07	14.89	14.66	14.43	14.02	13.99	14.43	14.28	14.42	13.48
"70-74 years"	"men and women"	24.02	23.48	23.47	23.06	22.25	21.70	21.23	20.07	19.73	19.64	19.19	18.70	18.59	18.09	17.55	17.67	17.65	17.21	17.32	16.47
"75-79 years"	"men"	54.17	52.72	52.39	50.90	47.45	48.34	46.48	44.99	43.67	43.08	43.39	41.86	40.52	38.83	38.01	37.45	36.85	35.60	35.31	33.48
"75-79 years"	"women"	31.80	31.60	31.61	30.34	29.50	28.95	28.63	28.89	27.57	26.66	27.35	25.99	26.87	26.06	24.48	25.01	24.69	24.89	24.26	22.92
"75-79 years"	"men and women"	41.38	40.68	40.58	39.22	37.27	37.37	36.41	35.95	34.67	33.95	34.53	33.16	33.08	31.92	30.74	30.80	30.39	29.95	29.52	27.97
"80-84 years"	"men"	93.53	90.84	90.91	90.62	86.20	86.81	84.39	82.81	81.80	78.80	77.85	75.24	76.30	72.55	70.77	70.13	68.54	67.04	67.10	62.33
"80-84 years"	"women"	61.55	59.60	60.34	58.37	56.34	55.97	55.14	55.08	53.96	52.03	51.40	51.30	51.52	51.22	48.54	49.66	48.12	48.55	46.86	44.57
"80-84 years"	"men and women"	73.96	71.80	72.34	71.10	68.17	68.24	66.84	66.23	65.19	62.88	62.18	61.12	61.77	60.12	57.89	58.37	56.91	56.59	55.74	52.44
"85-89 years"	"men"	163.95	159.64	163.36	159.39	151.30	152.91	148.70	144.30	146.17	144.08	141.01	138.22	141.37	134.67	131.75	134.62	127.15	130.52	128.32	120.87
"85-89 years"	"women"	115.44	118.11	118.53	112.11	109.14	107.00	105.22	108.73	106.91	104.72	103.29	102.56	104.41	99.13	96.38	96.16	95.89	96.81	94.38	89.54
"85-89 years"	"men and women"	131.50	131.92	133.57	128.10	123.52	122.82	120.33	121.19	120.81	118.75	116.81	115.46	117.86	112.14	109.43	110.47	107.62	109.63	107.44	101.73
"90+ years"	"men"	286.08	292.14	292.80	277.38	270.12	279.78	272.67	280.16	270.92	272.17	267.57	261.84	270.44	263.64	253.18	261.13	261.88	269.12	259.92	250.34
"90+ years"	"women"	231.19	233.92	244.02	233.41	223.75	226.26	228.97	231.85	233.82	221.98	223.36	219.58	226.25	220.73	215.08	219.36	220.17	221.28	219.54	206.53
"90+ years"	"men and women"	245.21	248.88	256.59	244.83	235.92	240.35	240.53	244.76	243.86	235.75	235.67	231.53	238.89	233.14	226.22	231.68	232.57	235.55	231.67	219.82
