"Country or Area";"Year";"Area";"Sex";"Age";"Record Type";"Reliability";"Source Year";"Value";"Value Footnotes"
"Sweden";"2019";"Total";"Both Sexes";"36";"Estimate - de jure";"Final figure, complete";"2020";"128378";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"37";"Estimate - de jure";"Final figure, complete";"2020";"126526";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"38";"Estimate - de jure";"Final figure, complete";"2020";"130552";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"39";"Estimate - de jure";"Final figure, complete";"2020";"126563";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"40";"Estimate - de jure";"Final figure, complete";"2020";"122635";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"40 - 44";"Estimate - de jure";"Final figure, complete";"2020";"635836";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"41";"Estimate - de jure";"Final figure, complete";"2020";"123958";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"42";"Estimate - de jure";"Final figure, complete";"2020";"125045";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"43";"Estimate - de jure";"Final figure, complete";"2020";"129436";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"44";"Estimate - de jure";"Final figure, complete";"2020";"134762";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"45";"Estimate - de jure";"Final figure, complete";"2020";"132282";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"45 - 49";"Estimate - de jure";"Final figure, complete";"2020";"658339";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"46";"Estimate - de jure";"Final figure, complete";"2020";"134341";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"47";"Estimate - de jure";"Final figure, complete";"2020";"133675";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"48";"Estimate - de jure";"Final figure, complete";"2020";"130238";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"49";"Estimate - de jure";"Final figure, complete";"2020";"127803";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"50";"Estimate - de jure";"Final figure, complete";"2020";"132747";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"50 - 54";"Estimate - de jure";"Final figure, complete";"2020";"687849";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"51";"Estimate - de jure";"Final figure, complete";"2020";"138591";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"52";"Estimate - de jure";"Final figure, complete";"2020";"139314";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"53";"Estimate - de jure";"Final figure, complete";"2020";"139149";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"54";"Estimate - de jure";"Final figure, complete";"2020";"138048";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"55";"Estimate - de jure";"Final figure, complete";"2020";"128318";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"55 - 59";"Estimate - de jure";"Final figure, complete";"2020";"598967";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"56";"Estimate - de jure";"Final figure, complete";"2020";"122035";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"57";"Estimate - de jure";"Final figure, complete";"2020";"117411";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"58";"Estimate - de jure";"Final figure, complete";"2020";"115715";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"59";"Estimate - de jure";"Final figure, complete";"2020";"115488";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"60";"Estimate - de jure";"Final figure, complete";"2020";"114520";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"60 - 64";"Estimate - de jure";"Final figure, complete";"2020";"565066";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"61";"Estimate - de jure";"Final figure, complete";"2020";"115131";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"62";"Estimate - de jure";"Final figure, complete";"2020";"114551";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"63";"Estimate - de jure";"Final figure, complete";"2020";"111936";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"64";"Estimate - de jure";"Final figure, complete";"2020";"108928";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"65";"Estimate - de jure";"Final figure, complete";"2020";"110550";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"65 - 69";"Estimate - de jure";"Final figure, complete";"2020";"549311";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"66";"Estimate - de jure";"Final figure, complete";"2020";"108902";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"67";"Estimate - de jure";"Final figure, complete";"2020";"106604";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"68";"Estimate - de jure";"Final figure, complete";"2020";"110308";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"69";"Estimate - de jure";"Final figure, complete";"2020";"112947";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"70";"Estimate - de jure";"Final figure, complete";"2020";"115428";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"70 - 74";"Estimate - de jure";"Final figure, complete";"2020";"563648";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"71";"Estimate - de jure";"Final figure, complete";"2020";"114877";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"72";"Estimate - de jure";"Final figure, complete";"2020";"114340";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"73";"Estimate - de jure";"Final figure, complete";"2020";"111644";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"74";"Estimate - de jure";"Final figure, complete";"2020";"107359";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"75";"Estimate - de jure";"Final figure, complete";"2020";"98295";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"75 - 79";"Estimate - de jure";"Final figure, complete";"2020";"400619";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"76";"Estimate - de jure";"Final figure, complete";"2020";"88283";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"77";"Estimate - de jure";"Final figure, complete";"2020";"76006";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"78";"Estimate - de jure";"Final figure, complete";"2020";"70129";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"79";"Estimate - de jure";"Final figure, complete";"2020";"67906";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"80";"Estimate - de jure";"Final figure, complete";"2020";"62709";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"80 - 84";"Estimate - de jure";"Final figure, complete";"2020";"261527";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"81";"Estimate - de jure";"Final figure, complete";"2020";"56824";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"82";"Estimate - de jure";"Final figure, complete";"2020";"52406";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"83";"Estimate - de jure";"Final figure, complete";"2020";"47049";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"84";"Estimate - de jure";"Final figure, complete";"2020";"42539";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"85";"Estimate - de jure";"Final figure, complete";"2020";"38765";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"85 - 89";"Estimate - de jure";"Final figure, complete";"2020";"162303";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"86";"Estimate - de jure";"Final figure, complete";"2020";"36446";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"87";"Estimate - de jure";"Final figure, complete";"2020";"32839";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"88";"Estimate - de jure";"Final figure, complete";"2020";"29472";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"89";"Estimate - de jure";"Final figure, complete";"2020";"24781";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"90";"Estimate - de jure";"Final figure, complete";"2020";"21788";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"90 - 94";"Estimate - de jure";"Final figure, complete";"2020";"76247";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"91";"Estimate - de jure";"Final figure, complete";"2020";"18013";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"92";"Estimate - de jure";"Final figure, complete";"2020";"14932";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"93";"Estimate - de jure";"Final figure, complete";"2020";"12034";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"94";"Estimate - de jure";"Final figure, complete";"2020";"9480";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"95";"Estimate - de jure";"Final figure, complete";"2020";"7006";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"95 - 99";"Estimate - de jure";"Final figure, complete";"2020";"19989";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"96";"Estimate - de jure";"Final figure, complete";"2020";"4983";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"97";"Estimate - de jure";"Final figure, complete";"2020";"3873";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"98";"Estimate - de jure";"Final figure, complete";"2020";"2724";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"99";"Estimate - de jure";"Final figure, complete";"2020";"1403";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"100 +";"Estimate - de jure";"Final figure, complete";"2020";"2067";"1,2"
"Sweden";"2019";"Total";"Male";"Total";"Estimate - de jure";"Final figure, complete";"2020";"5142438";"1,2"
"Sweden";"2019";"Total";"Male";"0";"Estimate - de jure";"Final figure, complete";"2020";"60032";"1,2"
"Sweden";"2019";"Total";"Male";"0 - 4";"Estimate - de jure";"Final figure, complete";"2020";"311036";"1,2"
"Sweden";"2019";"Total";"Male";"1";"Estimate - de jure";"Final figure, complete";"2020";"60973";"1,2"
"Sweden";"2019";"Total";"Male";"1 - 4";"Estimate - de jure";"Final figure, complete";"2020";"251004";"1,2"
"Sweden";"2019";"Total";"Male";"2";"Estimate - de jure";"Final figure, complete";"2020";"63361";"1,2"
"Sweden";"2019";"Total";"Male";"3";"Estimate - de jure";"Final figure, complete";"2020";"63030";"1,2"
"Sweden";"2019";"Total";"Male";"4";"Estimate - de jure";"Final figure, complete";"2020";"63640";"1,2"
"Sweden";"2019";"Total";"Male";"5";"Estimate - de jure";"Final figure, complete";"2020";"63087";"1,2"
"Sweden";"2019";"Total";"Male";"5 - 9";"Estimate - de jure";"Final figure, complete";"2020";"318534";"1,2"
"Sweden";"2019";"Total";"Male";"6";"Estimate - de jure";"Final figure, complete";"2020";"63441";"1,2"
"Sweden";"2019";"Total";"Male";"7";"Estimate - de jure";"Final figure, complete";"2020";"62905";"1,2"
"Sweden";"2019";"Total";"Male";"8";"Estimate - de jure";"Final figure, complete";"2020";"65385";"1,2"
"Sweden";"2019";"Total";"Male";"9";"Estimate - de jure";"Final figure, complete";"2020";"63716";"1,2"
"Sweden";"2019";"Total";"Male";"10";"Estimate - de jure";"Final figure, complete";"2020";"63197";"1,2"
"Sweden";"2019";"Total";"Male";"10 - 14";"Estimate - de jure";"Final figure, complete";"2020";"306645";"1,2"
"Sweden";"2019";"Total";"Male";"11";"Estimate - de jure";"Final figure, complete";"2020";"62172";"1,2"
"Sweden";"2019";"Total";"Male";"12";"Estimate - de jure";"Final figure, complete";"2020";"61758";"1,2"
"Sweden";"2019";"Total";"Male";"13";"Estimate - de jure";"Final figure, complete";"2020";"59680";"1,2"
"Sweden";"2019";"Total";"Male";"14";"Estimate - de jure";"Final figure, complete";"2020";"59838";"1,2"
"Sweden";"2019";"Total";"Male";"15";"Estimate - de jure";"Final figure, complete";"2020";"58915";"1,2"
"Sweden";"2019";"Total";"Male";"15 - 19";"Estimate - de jure";"Final figure, complete";"2020";"293802";"1,2"
"Sweden";"2019";"Total";"Male";"16";"Estimate - de jure";"Final figure, complete";"2020";"57928";"1,2"
"Sweden";"2019";"Total";"Male";"17";"Estimate - de jure";"Final figure, complete";"2020";"57108";"1,2"
"Sweden";"2019";"Total";"Male";"18";"Estimate - de jure";"Final figure, complete";"2020";"58716";"1,2"
"Sweden";"2019";"Total";"Male";"19";"Estimate - de jure";"Final figure, complete";"2020";"61135";"1,2"
"Sweden";"2019";"Total";"Male";"20";"Estimate - de jure";"Final figure, complete";"2020";"59115";"1,2"
"Sweden";"2019";"Total";"Male";"20 - 24";"Estimate - de jure";"Final figure, complete";"2020";"311168";"1,2"
"Sweden";"2019";"Total";"Male";"21";"Estimate - de jure";"Final figure, complete";"2020";"57501";"1,2"
"Sweden";"2019";"Total";"Male";"22";"Estimate - de jure";"Final figure, complete";"2020";"60048";"1,2"
"Sweden";"2019";"Total";"Male";"23";"Estimate - de jure";"Final figure, complete";"2020";"65065";"1,2"
"Sweden";"2019";"Total";"Male";"24";"Estimate - de jure";"Final figure, complete";"2020";"69439";"1,2"
"Sweden";"2019";"Total";"Male";"25";"Estimate - de jure";"Final figure, complete";"2020";"72416";"1,2"
"Sweden";"2019";"Total";"Male";"25 - 29";"Estimate - de jure";"Final figure, complete";"2020";"380948";"1,2"
"Sweden";"2019";"Total";"Male";"26";"Estimate - de jure";"Final figure, complete";"2020";"75873";"1,2"
"Sweden";"2019";"Total";"Male";"27";"Estimate - de jure";"Final figure, complete";"2020";"77948";"1,2"
"Sweden";"2019";"Total";"Male";"28";"Estimate - de jure";"Final figure, complete";"2020";"78928";"1,2"
"Sweden";"2019";"Total";"Male";"29";"Estimate - de jure";"Final figure, complete";"2020";"75783";"1,2"
"Sweden";"2019";"Total";"Male";"30";"Estimate - de jure";"Final figure, complete";"2020";"74871";"1,2"
"Sweden";"2019";"Total";"Male";"30 - 34";"Estimate - de jure";"Final figure, complete";"2020";"354455";"1,2"
"Sweden";"2019";"Total";"Male";"31";"Estimate - de jure";"Final figure, complete";"2020";"71078";"1,2"
"Sweden";"2019";"Total";"Male";"32";"Estimate - de jure";"Final figure, complete";"2020";"70994";"1,2"
"Sweden";"2019";"Total";"Male";"33";"Estimate - de jure";"Final figure, complete";"2020";"69885";"1,2"
"Sweden";"2019";"Total";"Male";"34";"Estimate - de jure";"Final figure, complete";"2020";"67627";"1,2"
"Sweden";"2019";"Total";"Male";"35";"Estimate - de jure";"Final figure, complete";"2020";"65850";"1,2"
"Sweden";"2019";"Total";"Male";"35 - 39";"Estimate - de jure";"Final figure, complete";"2020";"328012";"1,2"
"Sweden";"2019";"Total";"Male";"36";"Estimate - de jure";"Final figure, complete";"2020";"66033";"1,2"
"Sweden";"2019";"Total";"Male";"37";"Estimate - de jure";"Final figure, complete";"2020";"64670";"1,2"
"Sweden";"2019";"Total";"Male";"38";"Estimate - de jure";"Final figure, complete";"2020";"66751";"1,2"
"Sweden";"2019";"Total";"Male";"39";"Estimate - de jure";"Final figure, complete";"2020";"64708";"1,2"
"Sweden";"2019";"Total";"Male";"40";"Estimate - de jure";"Final figure, complete";"2020";"62516";"1,2"
"Sweden";"2019";"Total";"Male";"40 - 44";"Estimate - de jure";"Final figure, complete";"2020";"323915";"1,2"
"Sweden";"2019";"Total";"Male";"41";"Estimate - de jure";"Final figure, complete";"2020";"63259";"1,2"
"Sweden";"2019";"Total";"Male";"42";"Estimate - de jure";"Final figure, complete";"2020";"63806";"1,2"
"Sweden";"2019";"Total";"Male";"43";"Estimate - de jure";"Final figure, complete";"2020";"65851";"1,2"
"Sweden";"2019";"Total";"Male";"44";"Estimate - de jure";"Final figure, complete";"2020";"68483";"1,2"
"Sweden";"2019";"Total";"Male";"45";"Estimate - de jure";"Final figure, complete";"2020";"67096";"1,2"
"Sweden";"2019";"Total";"Male";"45 - 49";"Estimate - de jure";"Final figure, complete";"2020";"333690";"1,2"
"Sweden";"2019";"Total";"Male";"46";"Estimate - de jure";"Final figure, complete";"2020";"68161";"1,2"
"Sweden";"2019";"Total";"Male";"47";"Estimate - de jure";"Final figure, complete";"2020";"67733";"1,2"
"Sweden";"2019";"Total";"Male";"48";"Estimate - de jure";"Final figure, complete";"2020";"65874";"1,2"
"Sweden";"2019";"Total";"Male";"49";"Estimate - de jure";"Final figure, complete";"2020";"64826";"1,2"
"Sweden";"2019";"Total";"Male";"50";"Estimate - de jure";"Final figure, complete";"2020";"67216";"1,2"
"Sweden";"2019";"Total";"Male";"50 - 54";"Estimate - de jure";"Final figure, complete";"2020";"349187";"1,2"
"Sweden";"2019";"Total";"Male";"51";"Estimate - de jure";"Final figure, complete";"2020";"70496";"1,2"
"Sweden";"2019";"Total";"Male";"52";"Estimate - de jure";"Final figure, complete";"2020";"70938";"1,2"
"Sweden";"2019";"Total";"Male";"53";"Estimate - de jure";"Final figure, complete";"2020";"70698";"1,2"
"Sweden";"2019";"Total";"Male";"54";"Estimate - de jure";"Final figure, complete";"2020";"69839";"1,2"
"Sweden";"2019";"Total";"Male";"55";"Estimate - de jure";"Final figure, complete";"2020";"65308";"1,2"
"Sweden";"2019";"Total";"Male";"55 - 59";"Estimate - de jure";"Final figure, complete";"2020";"302734";"1,2"
"Sweden";"2019";"Total";"Male";"56";"Estimate - de jure";"Final figure, complete";"2020";"61738";"1,2"
"Sweden";"2019";"Total";"Male";"57";"Estimate - de jure";"Final figure, complete";"2020";"59263";"1,2"
"Sweden";"2019";"Total";"Male";"58";"Estimate - de jure";"Final figure, complete";"2020";"58138";"1,2"
"Sweden";"2019";"Total";"Male";"59";"Estimate - de jure";"Final figure, complete";"2020";"58287";"1,2"
"Sweden";"2019";"Total";"Male";"60";"Estimate - de jure";"Final figure, complete";"2020";"57581";"1,2"
"Sweden";"2019";"Total";"Male";"60 - 64";"Estimate - de jure";"Final figure, complete";"2020";"282697";"1,2"
"Sweden";"2019";"Total";"Male";"61";"Estimate - de jure";"Final figure, complete";"2020";"57551";"1,2"
"Sweden";"2019";"Total";"Male";"62";"Estimate - de jure";"Final figure, complete";"2020";"57691";"1,2"
"Sweden";"2019";"Total";"Male";"63";"Estimate - de jure";"Final figure, complete";"2020";"55654";"1,2"
"Sweden";"2019";"Total";"Male";"64";"Estimate - de jure";"Final figure, complete";"2020";"54220";"1,2"
"Sweden";"2019";"Total";"Male";"65";"Estimate - de jure";"Final figure, complete";"2020";"54980";"1,2"
"Sweden";"2019";"Total";"Male";"65 - 69";"Estimate - de jure";"Final figure, complete";"2020";"271523";"1,2"
"Sweden";"2019";"Total";"Male";"66";"Estimate - de jure";"Final figure, complete";"2020";"53986";"1,2"
"Sweden";"2019";"Total";"Male";"67";"Estimate - de jure";"Final figure, complete";"2020";"52503";"1,2"
"Sweden";"2019";"Total";"Male";"68";"Estimate - de jure";"Final figure, complete";"2020";"54578";"1,2"
"Sweden";"2019";"Total";"Male";"69";"Estimate - de jure";"Final figure, complete";"2020";"55476";"1,2"
"Sweden";"2019";"Total";"Male";"70";"Estimate - de jure";"Final figure, complete";"2020";"56382";"1,2"
"Sweden";"2019";"Total";"Male";"70 - 74";"Estimate - de jure";"Final figure, complete";"2020";"275471";"1,2"
"Sweden";"2019";"Total";"Male";"71";"Estimate - de jure";"Final figure, complete";"2020";"56132";"1,2"
"Sweden";"2019";"Total";"Male";"72";"Estimate - de jure";"Final figure, complete";"2020";"55859";"1,2"
"Sweden";"2019";"Total";"Male";"73";"Estimate - de jure";"Final figure, complete";"2020";"54707";"1,2"
"Sweden";"2019";"Total";"Male";"74";"Estimate - de jure";"Final figure, complete";"2020";"52391";"1,2"
"Sweden";"2019";"Total";"Male";"75";"Estimate - de jure";"Final figure, complete";"2020";"47508";"1,2"
"Sweden";"2019";"Total";"Male";"75 - 79";"Estimate - de jure";"Final figure, complete";"2020";"190937";"1,2"
"Sweden";"2019";"Total";"Male";"76";"Estimate - de jure";"Final figure, complete";"2020";"42615";"1,2"
"Sweden";"2019";"Total";"Male";"77";"Estimate - de jure";"Final figure, complete";"2020";"36201";"1,2"
"Sweden";"2019";"Total";"Male";"78";"Estimate - de jure";"Final figure, complete";"2020";"33125";"1,2"
"Sweden";"2019";"Total";"Male";"79";"Estimate - de jure";"Final figure, complete";"2020";"31488";"1,2"
"Sweden";"2019";"Total";"Male";"80";"Estimate - de jure";"Final figure, complete";"2020";"28459";"1,2"
"Sweden";"2019";"Total";"Male";"80 - 84";"Estimate - de jure";"Final figure, complete";"2020";"115206";"1,2"
"Sweden";"2019";"Total";"Male";"81";"Estimate - de jure";"Final figure, complete";"2020";"25539";"1,2"
"Sweden";"2019";"Total";"Male";"82";"Estimate - de jure";"Final figure, complete";"2020";"23013";"1,2"
"Sweden";"2019";"Total";"Male";"83";"Estimate - de jure";"Final figure, complete";"2020";"20477";"1,2"
"Sweden";"2019";"Total";"Male";"84";"Estimate - de jure";"Final figure, complete";"2020";"17718";"1,2"
"Sweden";"2019";"Total";"Male";"85";"Estimate - de jure";"Final figure, complete";"2020";"15899";"1,2"
"Sweden";"2019";"Total";"Male";"85 - 89";"Estimate - de jure";"Final figure, complete";"2020";"62775";"1,2"
"Sweden";"2019";"Total";"Male";"86";"Estimate - de jure";"Final figure, complete";"2020";"14566";"1,2"
"Sweden";"2019";"Total";"Male";"87";"Estimate - de jure";"Final figure, complete";"2020";"12574";"1,2"
"Sweden";"2019";"Total";"Male";"88";"Estimate - de jure";"Final figure, complete";"2020";"10883";"1,2"
"Sweden";"2019";"Total";"Male";"89";"Estimate - de jure";"Final figure, complete";"2020";"8853";"1,2"
"Sweden";"2019";"Total";"Male";"90";"Estimate - de jure";"Final figure, complete";"2020";"7537";"1,2"
"Sweden";"2019";"Total";"Male";"90 - 94";"Estimate - de jure";"Final figure, complete";"2020";"24347";"1,2"
"Sweden";"2019";"Total";"Male";"91";"Estimate - de jure";"Final figure, complete";"2020";"5809";"1,2"
"Sweden";"2019";"Total";"Male";"92";"Estimate - de jure";"Final figure, complete";"2020";"4720";"1,2"
"Sweden";"2019";"Total";"Male";"93";"Estimate - de jure";"Final figure, complete";"2020";"3598";"1,2"
"Sweden";"2019";"Total";"Male";"94";"Estimate - de jure";"Final figure, complete";"2020";"2683";"1,2"
"Sweden";"2019";"Total";"Male";"95";"Estimate - de jure";"Final figure, complete";"2020";"1936";"1,2"
"Sweden";"2019";"Total";"Male";"95 - 99";"Estimate - de jure";"Final figure, complete";"2020";"4994";"1,2"
"Sweden";"2019";"Total";"Male";"96";"Estimate - de jure";"Final figure, complete";"2020";"1287";"1,2"
"Sweden";"2019";"Total";"Male";"97";"Estimate - de jure";"Final figure, complete";"2020";"899";"1,2"
"Sweden";"2019";"Total";"Male";"98";"Estimate - de jure";"Final figure, complete";"2020";"608";"1,2"
